TIPREG,DATAPREG,CODDBI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES
1,2016-02-17,02,AAPL34,10,APPLE,DRN ED,,R$,38.61,39.38,38.61,38.95,39.38,35.5,39.5,5,56300,2193189.0,0.0,0,9999-12-31,1,0.0,BRAAPLBDR004,116
1,2016-02-17,10,ABCB10,10,ABC BRASIL,PN REC N2,,R$,7.85,7.85,7.8,7.82,7.8,7.89,8.6,2,200,1565.0,0.0,0,9999-12-31,1,0.0,BRABCBR09PR2,124
1,2016-02-17,96,ABCB10F,20,ABC BRASIL,PN REC N2,,R$,7.62,7.9,7.51,7.74,7.9,7.8,8.8,4,85,657.95,0.0,0,9999-12-31,1,0.0,BRABCBR09PR2,124
1,2016-02-17,02,ABCB4,10,ABC BRASIL,PN N2,,R$,8.68,8.7,8.36,8.6,8.6,8.46,8.6,587,204000,1756276.0,0.0,0,9999-12-31,1,0.0,BRABCBACNPR4,125
1,2016-02-17,96,ABCB4F,20,ABC BRASIL,PN N2,,R$,8.67,8.67,8.4,8.57,8.54,8.15,8.6,11,225,1930.34,0.0,0,9999-12-31,1,0.0,BRABCBACNPR4,125
1,2016-02-17,12,ABCP11,10,FII ABC IMOB,CI,,R$,9.42,9.69,9.32,9.35,9.32,9.31,9.7,7,176,1646.86,0.0,0,9999-12-31,1,0.0,BRABCPCTF000,244
1,2016-02-17,02,ABEV3,10,AMBEV S/A,ON,,R$,18.15,18.64,18.02,18.32,18.26,18.26,18.36,40665,18798000,344457342.0,0.0,0,9999-12-31,1,0.0,BRABEVACNOR1,112
1,2016-02-17,96,ABEV3F,20,AMBEV S/A,ON,,R$,18.18,18.63,18.1,18.31,18.32,18.32,18.63,176,4053,74221.54,0.0,0,9999-12-31,1,0.0,BRABEVACNOR1,112
1,2016-02-17,62,ABEV3T,30,AMBEV S/A,ON,016,R$,18.56,18.57,18.56,18.56,18.57,0.0,0.0,2,33000,612503.1,0.0,0,9999-12-31,1,0.0,BRABEVACNOR1,112
1,2016-02-17,62,ABEV3T,30,AMBEV S/A,ON,030,R$,18.32,18.33,18.32,18.32,18.33,0.0,0.0,6,99000,1814509.62,0.0,0,9999-12-31,1,0.0,BRABEVACNOR1,112
